session_id,Religion,Condition,ConditionNumeric,Error,TooFast,ChristJewBIAT,ChristIslamBIAT,ChristHinduBIAT,JewIslamBIAT,JewHinduBIAT,IslamHinduBIAT,ChristImp,IslamImp,JewImp,HinduImp,ChristJewExp,ChristIslamExp,ChristHinduExp,JewIslamExp,JewHinduExp,IslamHinduExp,ChristExpAgg,HinduExpAgg,JewExpAgg,IslamExpAgg,Ethnicity,Race,religionid,citizenship,residence,Age,Gender,CondxCJBIAT,CondxCHBIAT,Conservatism,PartGroup
2419813,Christian,bad,-1,.380208333333333,.114583333333333,-.47080779238593,-.448744191605394,.152287317197264,-.641611515820651,-.131368883008842,.0342482599015965,-.255754888931353,.374867989109214,-.100724202147854,-.0183888980300062,0,3,1,2,1,-1,1.33333333333333,-.333333333333333,1,-2,2,White,2,us,us,20,m,.47080779238593,-.152287317197264,-1,Christian
2419851,Muslim,bad,-1,.115183246073298,0,-.124397355616573,-.143826186081928,-.455184082297172,.00882499925836861,.46197148543723,.719281947773294,-.241135874665224,.284761044865618,.198397946770724,-.242023116971118,0,0,0,0,0,0,0,0,0,0,2,Black or African American,2,us,sm,42,m,.124397355616573,.455184082297172,2,Non-Christian
2420232,Christian,bad,-1,.15625,0,.523476176568837,1.05031450156244,-.155736285957411,.297680109878071,-.146378209388927,-.138443129636729,.472684797391288,-.495479247025746,-.124058092026565,.146852541661022,1,1,1,0,0,0,1,-.333333333333333,-.333333333333333,-.333333333333333,3,East Asian,3,pk,ca,31,m,-.523476176568837,.155736285957411,0,Christian
2420447,Christian,bad,-1,.0677083333333333,0,.826851415913095,.436426058660197,.397074591999908,-.0118827802957408,-.473538593523474,-.665071681304442,.553450688857733,-.363204986556299,-.437424263244103,.247178560942669,2,3,3,2,1,1,2.66666666666667,-1.66666666666667,.333333333333333,-1.33333333333333,2,White,3,us,us,22,f,-.826851415913095,-.397074591999908,1,Christian
2420768,Christian,good,1,.130890052356021,0,.650946467958739,.688302637651924,.174837726072471,.129194329916362,.660260408630587,.209315891090286,.504695610561045,-.202727025492667,.0461694235294033,-.348138008597781,3,3,3,2,2,-2,3,-1,.333333333333333,-2.33333333333333,2,White,1,us,sm,21,m,.650946467958739,.174837726072471,2,Christian
2420998,Muslim,good,1,.0520833333333333,0,.00599946779726993,-.0853635923632141,1.30016982946357,-.0744012483283807,-.387500988404043,.474631449738999,.406935234965876,.211465430143531,-.155967234843231,-.462433430266176,0,0,0,0,0,0,0,0,0,0,2,White,3,ch,ch,31,f,.00599946779726993,1.30016982946357,0,Non-Christian
2421116,Hindu,good,1,.347593582887701,.176470588235294,1.44238741532024,-.102082382286497,.0243472777610197,-.182129791796476,-1.66485440638066,.941670167615597,.454884103598254,.408627447232857,-1.09645720449912,.232945653668013,0,0,0,0,0,0,0,0,0,0,1,East Asian,3,in,in,31,m,1.44238741532024,.0243472777610197,0,Non-Christian
2421445,Christian,good,1,.0729166666666667,0,.325697988876852,.864517557259768,.729270172196048,-.602049590164851,.0466121012664228,-.382324141572078,.639828572777556,-.214930702888999,-.293711825925093,-.131186043963464,0,1,0,2,0,-1,.333333333333333,.333333333333333,.666666666666667,-1.33333333333333,2,White,1,us,us,48,m,.325697988876852,.729270172196048,-2,Christian
2421845,Christian,bad,-1,.125,0, , ,-.0871734728808632,.0165104558145619, , , , , , , , , , , , , , , , ,2,White,2,us,us,41,f, ,.0871734728808632,-1,Christian
2422061,Christian,bad,-1,.0989583333333333,0,.0846548828798151,.302599549436971,.246324879290132,-.162756850855062,.612353529438527,-.136323099003762,.211193103868973,-.0920552658618901,.12164726523455,-.240785103241632,0,0,0,0,0,0,0,0,0,0,2,More than one race - Other,2,us,sm,44,f,-.0846548828798151,-.246324879290132,0,Christian
